순위,관광지ID,관심지점명,구분,연령대,비율
1,aa6be6a4f5997ab91804f3b6be58e878,코엑스,문화생활시설,40,12.8	
2,f4cb0345c02d72995cc67111ef093ead,롯데월드잠실점,레저/스포츠,40,9.7	
3,d6e7d2e0ef86a25cce60aac5332b28dc,국립중앙박물관,문화생활시설,40,8.4	
4,6a4932d3f2787d25a04b758ba68e9db2,어린이대공원,레저/스포츠,40,6.4	
5,b605a838036e13947e8dd11697cdd276,예술의전당,문화생활시설,40,5.3	
6,97c0a1427be208a8ca50e879baa895c4,올림픽공원,관광명소,40,4.1	
7,94b37da181384604e8bdf68b3217008e,여의도한강공원,관광명소,40,3.9	
8,b9dc3865498d79141065bc74ea791de7,CGV용산아이파크몰,문화생활시설,40,3.8	
9,81bf1d15ad057d0cc8f1eb7bc402dd7c,전쟁기념관,문화생활시설,40,2.9	
10,48d711bc1a903d95d891501dd96cdf06,경복궁,관광명소,40,2.9	
11,ac50c8b01e74f605a64ac86543f58c2a,헌릉과 인릉,관광명소,40,2.7	
12,72052bd332dcb27c72a17ad8b6cf960a,국립현대미술관서울관,문화생활시설,40,2.6	
13,8f9c104f2123fcd914e1cf5de0baef0b,서울식물원,관광명소,40,2.6	
14,4c259dd1d968533026e3c9a60cc4c34a,서울숲,관광명소,40,2.4	
15,273e0e5b0ac26479b4d07c1f7be5b5a0,잠실야구장,레저/스포츠,40,2.3	
16,8ba57fda99dae27f1df09914dc84eb37,서울월드컵경기장,레저/스포츠,40,2.3	
17,55e0793c51cf907b25b9bed3458f3499,목동실내아이스링크,레저/스포츠,40,2.3	
18,7604329d44b67a24da33a6315b69679d,코엑스마곡,문화생활시설,40,2.2	
19,4ad99170855561c905cd752d5890235a,국립극장,문화생활시설,40,2.1	
20,eae638a0117eda42a27a586f77cc0cd3,반포한강공원,관광명소,40,2.0	
21,b2e840beb2fcb66bb33d988c822656ad,뚝섬한강공원,관광명소,40,2.0	
22,1e7e1c95ad993fbfa0a1906e8e0fbef9,평화의공원,관광명소,40,1.9	
23,73bc00a87254e3456a406922d1ca45a4,롯데월드아쿠아리움,관광명소,40,1.8	
24,e8db6383a56dd839d95281dd990a271e,SETEC,문화생활시설,40,1.7	
25,595854ec5dc8c648f6a10cb3a5b4f02b,SEA LIFE 코엑스아쿠아리움,관광명소,40,1.6	
26,9dac72fa7ebfaa2eca0d9f9e4e8ddcff,팔각정북악스카이,관광명소,40,1.5	
27,7a26ab6765d89defa50ba1df5722052c,고척스카이돔,레저/스포츠,40,1.5	
28,6e83a36a9b7bd04680c637b8f44a99ab,봉은사,종교,40,1.5	
29,1d97509dda804ea7abc88d81971a0322,북서울꿈의숲,관광명소,40,1.4	
30,69613def5e53b5ef3d8026a44b78b0c9,국립항공박물관,문화생활시설,40,1.4	
